"","pvalue","adj_pvalue","weight","weighted_pvalue","group","covariate","fold","log2FoldChange"
"Selenom",2.22216577768864e-16,8.69154255770775e-15,1.19469093476593,1.86003401634919e-16,"3",129.787733049953,"5",3.51708665454826
"Acot11",2.33065473561196e-16,1.10665091097293e-14,0.974523672085974,2.39158350112028e-16,"5",439.025880284399,"3",2.69947620635251
"Trbc1",2.3309277675625e-16,6.73514296204953e-15,1.63324323358086,1.42717736074864e-16,"9",8234.36568199186,"4",-1.181746178692
"Aars",2.77102919151371e-16,1.10809365862445e-14,1.15340536092156,2.40247642797471e-16,"9",6016.24585759211,"1",1.13572563281476
"Wnt5b",3.13677122235884e-16,1.47031934616858e-14,0.974523672085974,3.2187737581013e-16,"3",99.9158659268062,"3",-5.61799538837901
"Fgf13",3.34819583640805e-16,1.40924534527197e-14,1.09229101900081,3.06529649897777e-16,"7",1727.26292861534,"3",-1.42251492777171
"Tbl1x",3.37243054535664e-16,1.43712328227058e-14,1.07538608743256,3.13601838890085e-16,"8",2610.63763282155,"4",-0.823220633273482
"Abr",4.21687276303734e-16,1.66471544013531e-14,1.15340536092156,3.65601973591322e-16,"9",5616.04195902886,"1",1.07336326069872
"Flii",4.25292892926725e-16,1.67360253588357e-14,1.15340536092156,3.68728035551109e-16,"9",9316.05250019963,"1",0.66822290525732
"Crtap",4.56963949619956e-16,2.11484370811888e-14,0.974523672085974,4.6891005596798e-16,"4",345.947344255989,"3",1.27825702338403
"Marveld2",5.1551903751488e-16,2.25962998990198e-14,1.02570844042957,5.02598026100848e-16,"5",412.833404623335,"4",2.17877580562241
"Acap3",5.66753831356154e-16,2.41659483453237e-14,1.05108857523011,5.39206537595632e-16,"8",2283.32970109336,"2",0.66528520920206
"Fam169b",6.1517265311414e-16,2.54775957753771e-14,1.07538608743256,5.72048179071054e-16,"8",3887.91951390848,"4",-0.763980305484257
"Igsf8",6.35740956963257e-16,1.75496407309086e-14,1.6389934614287,3.87884986685111e-16,"6",1175.78905437755,"5",1.52212774994483
"Bik",6.93738742605696e-16,3.16063494217739e-14,0.974523672085974,7.11874695789323e-16,"3",81.6583987889657,"3",2.64138473888826
"Nqo2",8.59380435282485e-16,3.70835647379561e-14,1.02570844042957,8.37840853608045e-16,"5",444.093259464251,"4",1.71361679307125
"Padi2",8.63758816567484e-16,2.44786838514885e-14,1.57648397549081,5.47902059263601e-16,"9",4172.09082138769,"3",0.97752338502423
"Ripor2",1.17483356612277e-15,4.48048661313757e-14,1.15340536092156,1.0185782084315e-15,"9",15468.9270902449,"1",-1.13317226679586
"Dap3",1.18229959270586e-15,5.98379985552411e-14,0.86114947678212,1.37293190622817e-15,"8",2166.71428509152,"5",-1.09087036221266
"Atp10a",1.25147162828689e-15,5.19200091561755e-14,1.05489042844753,1.18635224525515e-15,"8",2489.24357805855,"3",1.15292549890409
"Farp1",1.35880423526583e-15,7.43522294026634e-14,0.784513870974168,1.73203341016589e-15,"4",304.612943776653,"5",2.29153686173229
"Irf1",1.49886314756746e-15,4.04934151021828e-14,1.63324323358086,9.17721939236953e-16,"9",13541.9617474295,"4",-1.15867089717338
"Ptpn13",1.51504003951499e-15,5.19200091561755e-14,1.27569708679484,1.18761738597482e-15,"6",1048.34035528382,"1",2.34260100845547
"Cdc42ep3",1.5470294294817e-15,6.41202205366816e-14,1.04834816177496,1.47568287510746e-15,"7",1842.58905002304,"1",1.18216499520614
"Zcwpw1",1.70073388487026e-15,7.2226556544339e-14,1.01388167678131,1.67744809263094e-15,"5",490.359319288925,"5",-1.74772136762043
"Gm5511",1.96500441817392e-15,7.10345832216166e-14,1.19469093476593,1.64478055452803e-15,"3",93.1932743121431,"5",-2.04547598259107
"Gm26614",2.00770934471439e-15,8.71273209369454e-14,0.974523672085974,2.06019556242988e-15,"3",51.6480625703501,"3",8.52279082121755
"Smpd1",2.15196662757872e-15,8.48804463685438e-14,1.07538608743256,2.00111071988708e-15,"8",2256.43343664317,"4",1.29668603058324
"Ank",2.25132958165807e-15,1.20639244849664e-13,0.775411363935081,2.90340029353317e-15,"7",1634.6749172127,"5",1.47952444772043
"Gm11346",2.2640937055011e-15,8.73668917778012e-14,1.09271429720464,2.07199055717772e-15,"6",835.31402367144,"3",-1.87158163989597
"Ldlr",2.33893472456965e-15,9.00234918129616e-14,1.09229101900081,2.14131095457437e-15,"7",1328.07485513444,"3",2.98311502541655
"Trav3-3",2.40341189652052e-15,9.8943503017128e-14,1.01821108555137,2.36042597711363e-15,"5",487.72682821032,"2",1.81983827664736
"Lss",2.54705908349858e-15,6.73196290186053e-14,1.6389934614287,1.55403858736466e-15,"6",1003.14676961286,"5",1.25424583681555
"Pkp3",2.88465449262118e-15,1.1436791280007e-13,1.05108857523011,2.74444472197755e-15,"8",3516.7131465531,"2",0.97544248159304
"Prr13",2.99233846417385e-15,7.90954052687839e-14,1.61916474706562,1.84807535465233e-15,"9",7196.47670327009,"2",1.43003921982555
"Dusp10",3.0876621195007e-15,8.13707046594781e-14,1.61916474706562,1.90694747097009e-15,"9",10277.344223722,"2",-2.10681420697322
"Runx2",3.14292467754617e-15,1.24206923855326e-13,1.04834816177496,2.99797795440864e-15,"7",1806.12907690903,"1",2.47873234902277
"Trbv12-1",3.13538286181801e-15,8.13849996158447e-14,1.6389934614287,1.91299290424558e-15,"6",991.421406517661,"5",-1.47490629917814
"Plekhg3",3.18356934647624e-15,1.3027660873434e-13,1.00949596683145,3.15362265038923e-15,"5",596.584073185081,"1",2.2123998360945
