"","pvalue","adj_pvalue","weight","weighted_pvalue","group","covariate","fold","log2FoldChange"
"Yeats4",0.00125829983792123,0.0087225455752874,1.10714576536761,0.00113652590045669,"7",1437.34636644545,"5",-0.37498774147217
"Gipc2",0.00126335675650043,0.0094876120171022,1,0.00126335675650043,"1",11.2417114923186,"4",1.78555767821127
"Tnfrsf14",0.00126350600676817,0.0094876120171022,1,0.00126350600676817,"3",89.2942718832614,"2",-0.819351233842006
"Usp45",0.00126343410585849,0.0094876120171022,1,0.00126343410585849,"5",633.763274985115,"2",-0.335671375893238
"Klhl35",0.00126523413574489,0.00949268665770688,1,0.00126523413574489,"3",52.001117082025,"4",0.772628344939317
"Rabl6",0.00126551393836957,0.00949268665770688,1,0.00126551393836957,"7",1795.44281600457,"3",-0.353028998558902
"Tsr1",0.00126778353369884,0.00876939725249507,1.10714576536761,0.0011450917967228,"7",1713.75577697279,"5",-0.515664659182347
"Cd101",0.00126898391632351,0.00951162903834533,1,0.00126898391632351,"6",997.642530256214,"4",0.714924378555507
"F2rl3",0.00126937401283559,0.00951162903834533,1,0.00126937401283559,"3",73.2187416012841,"2",0.864368917668546
"Trappc6b",0.0012747417683007,0.00879982852547008,1.10714576536761,0.00115137663727363,"7",1676.1531150317,"5",0.353740848243935
"Rfx7",0.00129138668234128,0.00888492009166736,1.10714576536761,0.00116641071368998,"7",1962.13139819478,"5",-0.37389361384745
"Gm10522",0.00129315717697095,0.00966443423502357,1,0.00129315717697095,"2",27.8689286743457,"2",1.65026256516717
"Hdac6",0.00129485447662105,0.00966698061854544,1,0.00129485447662105,"6",830.668272820233,"2",0.417374361900046
"Pold3",0.00129713442048746,0.00967893181193053,1,0.00129713442048746,"7",1766.05380246796,"3",0.270064760206265
"Eef2k",0.00129833305033886,0.00968280619227079,1,0.00129833305033886,"5",636.917254768132,"4",-0.456081266488706
"Gm37248",0.00130082309609835,0.00969630270167034,1,0.00130082309609835,"5",494.116535193354,"3",-1.62400543315463
"Memo1",0.00130803886328036,0.00974499209590785,1,0.00130803886328036,"6",768.520867481618,"4",-0.381466420659627
"Eif4ebp1",0.00130875453219914,0.00974522967236268,1,0.00130875453219914,"5",470.759707613876,"2",0.579081576842721
"Phf11a",0.00131213509287821,0.0097652999183813,1,0.00131213509287821,"4",157.077814774913,"4",0.693329259962726
"Srpr",0.00131193862454748,0.0081512844010603,1.2575091256896,0.00104328358160266,"9",5473.65123245806,"1",0.359317799431275
"Nhsl2",0.00131301951070972,0.0097667818719389,1,0.00131301951070972,"3",111.643664227878,"4",1.59468723857243
"Dnajc9",0.00131985514139392,0.00818752029372081,1.2575091256896,0.00104957897674908,"9",4230.13168955799,"1",0.369344223432709
"Dnaaf5",0.00132376614659068,0.00943175170440975,1.05724001657859,0.00125209614262863,"7",1291.03670725926,"1",-0.398628194503311
"Pus7",0.0013283284845331,0.00986520977674087,1,0.0013283284845331,"7",1295.51155274264,"4",-0.415308841911669
"Rufy1",0.00133068379009932,0.00947540073828612,1.05724001657859,0.00125863925809926,"7",1490.38435175933,"1",0.347156661677268
"Cks2",0.0013368010305228,0.0099229626494849,1,0.0013368010305228,"4",335.735917963758,"2",-0.758007868646188
"Pls3",0.00134750395953791,0.00902103445560725,1.13600419605301,0.00118617868157508,"3",79.7755136287714,"1",1.53870882833179
"Fam20a",0.001348923361552,0.0100025264041827,1,0.001348923361552,"3",93.5088005093427,"4",1.14629717040982
"Uhrf2",0.001350224224797,0.0094876120171022,1.06868701799913,0.00126344215102846,"8",3132.36770638151,"1",0.246936574293239
"Cytip",0.00136423732391508,0.0101016814850016,1,0.00136423732391508,"9",20310.6721002014,"2",-0.477021520491126
