"","pvalue","adj_pvalue","weight","weighted_pvalue","group","covariate","fold","log2FoldChange"
"Homer1",0.777112896341356,0.774862734752278,1.28602720331324,0.604274073160544,"4",326.561161175398,"3",-0.0446501230441814
"Ndufa7",0.777170560551932,0.727170211863185,1.42036273483403,0.547163440360707,"7",1695.97440235632,"1",0.0347996923565778
"Pih1d1",0.777072901699801,0.86975530022904,1.05749406264185,0.734824836518234,"6",765.036875168775,"3",0.0317307660812972
"Taf4",0.777296806544763,0.900433559853366,1,0.777296806544763,"7",1381.48237934769,"4",-0.0328064308131218
"Zfp995",0.776940151433264,0.81677102552423,1.17938087512253,0.658769501712112,"4",179.611570798453,"2",0.0449087050641957
"Dhrs7b",0.777700781842109,0.887258120842159,1.02168837995027,0.761191765614445,"6",812.816033945142,"2",-0.0404297012677099
"Krt15",0.777644153879168,0.900723987807093,1,0.777644153879168,"3",74.5625675186484,"4",-0.0512988134047893
"Mns1",0.777674667039767,0.870139779853433,1.05749406264185,0.735393884951908,"5",529.451973024769,"3",-0.0494247666151825
"Rbbp9",0.777986722296179,0.775550777856334,1.28602720331324,0.604953550198489,"3",123.730545993388,"3",-0.049151821358126
"Timm10b",0.778156673308605,1,0.7704772307147,1,"4",301.160747943993,"1",-0.0381163645093406
"Npm3",0.778213090438112,1,0.7704772307147,1,"4",291.057484521985,"1",-0.0488357145244261
"Pgam5",0.77844929342343,0.901329054339972,1,0.77844929342343,"5",589.734924610214,"4",-0.0364157436084017
"Ubl5",0.778436003893451,0.897043236252825,1.00631389496545,0.773551878581759,"8",2846.73481934342,"3",0.0370807285670625
"Dbn1",0.778614081567161,1,0.632308344520129,1,"1",11.0380984700307,"2",0.051594809042278
"Fhdc1",0.778611954660211,0.901444157418142,1,0.778611954660211,"1",19.8201714131942,"4",-0.0518092183545151
"Mrpl22",0.778775146868043,0.836089288251767,1.13554144414917,0.685818338802734,"5",386.334519288355,"5",0.0421981851694552
"Plxnd1",0.778831073965076,0.776113233026414,1.28602720331324,0.605610108369826,"4",157.512853630197,"3",0.0509496190723366
"Nutf2-ps1",0.778945645459927,1,0.605808500065626,1,"1",12.8757948957185,"1",0.0515787695553713
"Uqcr11",0.779466826952757,1,0.7704772307147,1,"5",717.695962602657,"1",0.0368871995352781
"Gm43484",0.77969462182393,1,0.632308344520129,1,"1",10.390229793699,"2",-0.0510720658870816
"Gpr35",0.779737198234738,0.902014167957913,1,0.779737198234738,"3",66.4259293538249,"4",0.0461763543472948
"Usp37",0.779718914764941,0.902014167957913,1,0.779718914764941,"6",1101.36754263778,"4",-0.0362125269598281
"Aldh7a1",0.780183790690388,0.902384303272148,1,0.780183790690388,"4",285.671708010041,"4",0.0463765068726158
"Gab1",0.780114509131939,1,0.616442053114998,1,"1",18.5666633617717,"3",0.0418968163012277
"Rbx1",0.78023366641434,0.882769735347056,1.03479766953837,0.753996350573935,"8",2344.26012579078,"1",-0.0335135609635809
"Zfp862-ps",0.780128255985543,0.764247223729914,1.32099846479545,0.590559547778385,"3",87.6671581307762,"5",-0.0506327770004009
"Gm10039",0.780795871754321,0.764498797741017,1.32099846479545,0.591064935018847,"3",129.084988840841,"5",-0.0419160280517208
"P2ry13",0.780904546129941,1,0.548602408534312,1,"2",30.2549731225008,"3",-0.0477684153422223
"Wdr36",0.78070082474545,0.870229348482944,1.06095075238908,0.735850201328805,"8",2390.17163214971,"5",0.0310361459740287
"Gm12905",0.781204802690564,0.819756711653305,1.17938087512253,0.662385510202039,"4",140.349430891788,"2",0.0487998960039864
"Gm15927",0.78139762881857,1,0.605808500065626,1,"2",42.7922363528363,"1",-0.0496063227466916
"Ddx39",0.781930145246572,0.883093165352412,1.03479766953837,0.755635781046356,"9",4988.66268810657,"1",-0.029180123131295
"Fgd4",0.781836698908327,1,0.548602408534312,1,"2",37.6622112151936,"3",0.0467559049166393
"Gm9887",0.781903678593126,0.903347213627532,1,0.781903678593126,"3",132.285461526129,"4",-0.047819492640639
"Rnf168",0.781791995944488,0.872573373400247,1.05749406264185,0.739287362040976,"5",687.891236767619,"3",0.0392308849775109
"Rps25-ps1",0.781668541289184,0.903347213627532,1,0.781668541289184,"1",10.059577904712,"4",0.0510708910503645
"Usp30",0.781781081238704,0.903347213627532,1,0.781781081238704,"5",432.627386108478,"4",0.0343706933380565
"Ms4a7",0.782537580010469,1,0.632308344520129,1,"1",18.8751413261371,"2",-0.0472899148943454
"Sdc1",0.78265582933283,0.774855643077762,1.29541758068266,0.604172616617094,"3",53.4921100874892,"1",0.0508285552538194
"Fam120aos",0.782781294773953,0.778719243155527,1.28602720331324,0.608681754753899,"4",211.486850867858,"3",-0.0431403456013046
"Rock1",0.782859793298303,0.866810343238546,1.07326726614623,0.729417376260166,"9",6702.15332754722,"2",0.0332555338654717
"Racgap1",0.782980904316758,0.866872160175898,1.07326726614623,0.729530219558639,"9",4813.15393743123,"2",0.0415381228399836
"Cdyl2",0.783184123430782,0.838847868918242,1.13554144414917,0.689701047430814,"6",1038.73901576069,"5",0.0373092790909436
"Lrch1",0.783177729165785,0.891392419613184,1.02168837995027,0.766552448412797,"8",3680.11453786728,"2",-0.0228010029228718
"Rrp36",0.783283798895018,0.87341505874362,1.05749406264185,0.740698058330658,"7",1511.70789108637,"3",-0.0282773584683536
"Sarnp",0.783300667252255,0.891459607942878,1.02168837995027,0.766672776772092,"6",1184.82499184463,"2",0.0344062724177128
"Rfc4",0.78339949672468,0.820837728948179,1.17938087512306,0.664246396774018,"5",549.973324466481,"2",-0.036928123810293
"Pcna-ps2",0.783997556368756,1,0.456046177201296,1,"1",15.7528276390911,"5",0.0500943854829881
"Sirpb1c",0.784021829551286,1,0.605808500065626,1,"2",38.1749757506725,"1",-0.0469936633732941
"Ear1",0.784092390714209,1,0.605808500065626,1,"2",22.6061464993955,"1",0.0468200504364505
"Slc30a1",0.784175267715382,0.83909246112363,1.13554144414917,0.690573885925354,"6",759.395697363739,"5",0.0472805906972242
"Traj12",0.784239175781748,0.905458257715608,1,0.784239175781748,"2",40.3042171736431,"4",0.0487599784382738
"Olfr173",0.784542863335062,1,0.456046177201296,1,"1",10.1355747284775,"5",-0.050436068412779
"Csf1r",0.784696017501602,0.874221823689148,1.05749406264185,0.742033497134972,"5",511.607055393541,"3",0.048074993791444
"Ttc1",0.784660335426495,0.905871130052524,1,0.784660335426495,"7",1842.41469501897,"4",-0.0286336320388848
"Vdr",0.784679903750706,1,0.605808500065626,1,"2",29.4832725891347,"1",0.0501740806292196
"Cyp4f41-ps",0.784968711725182,1,0.632308344520129,1,"1",11.2159517167464,"2",0.0502703724929032
"Zw10",0.784974590875691,0.906068922749676,1,0.784974590875691,"7",1924.44453466229,"4",0.0337704946870862
"Slc30a7",0.785041381129235,0.874462014760521,1.05749406264185,0.742360083959272,"6",1254.2897663437,"3",0.0247684551899515
"Slfn5",0.785087038920748,1,0.7704772307147,1,"5",460.233310407825,"1",0.0467603102431684
"Gm49838",0.785911795309081,1,0.605808500065626,1,"2",29.5149689424225,"1",-0.0501027331017705
"Nup85",0.786118273025796,0.873530558458445,1.06095075238908,0.740956421639359,"8",2893.70528697996,"5",-0.0311666440298928
"Thoc3",0.786384262747271,0.731946679234825,1.42036273483403,0.553650305982689,"7",1534.93958560589,"1",0.0320961225459536
"Notch3",0.786755218041149,1,0.605808500065626,1,"1",12.0430734349975,"1",0.0485400890372797
"Akap17b",0.786863757417476,0.907640291533038,1,0.786863757417476,"3",86.6042803022164,"4",-0.0462142745844749
"Rnf10",0.786829932399825,0.886736326774946,1.03479766953837,0.760370800555474,"9",4982.73233100297,"1",0.0340126514172934
"Agfg1",0.787181819702238,0.881388798511465,1.04633614725804,0.752322111555709,"9",6310.39393083469,"3",-0.0302504265947656
"Gm40332",0.787458744978926,1,0.456046177201296,1,"1",14.6989376515859,"5",0.0497316288888519
"Cenpl",0.787640259795414,1,0.7704772307147,1,"5",643.943280610157,"1",0.0418451315735253
"Cyp2f2",0.787859255705057,0.823307916062953,1.17938087512306,0.668027837591355,"5",444.40592735945,"2",-0.0491430548758819
"Higd2a",0.788096368785457,0.841838845537713,1.13554144414917,0.694026953261891,"7",1825.09083330624,"5",-0.0316324904408053
"Slc25a29",0.788021180763872,1,0.7704772307147,1,"4",230.568262542142,"1",-0.0456788913498081
"Xdh",0.788079151694214,0.733206376671441,1.42036273483403,0.554843584928536,"7",1416.04366716268,"1",0.0465615798192169
"Imp4",0.788380463678365,0.887829903090259,1.03479766953837,0.761869191327103,"9",5030.38778797869,"1",-0.0289929561542556
"Slc29a3",0.788365146358577,0.908824752857658,1,0.788365146358577,"5",658.324939486119,"4",-0.0408707207136032
"Avil",0.788892020239571,0.909026823797138,1,0.788892020239571,"1",11.7585368664069,"4",-0.0493837148151995
"Galnt2",0.788647814654755,0.76885782343815,1.32099846479545,0.597008880534068,"3",52.2787649895191,"5",0.0430517579209137
"Il13ra1",0.788962483676174,0.773897299630083,1.30860475776088,0.602903572677014,"3",127.656482219189,"2",-0.0478812683945853
"Phc2",0.788805488231042,0.882698857906801,1.04633614725804,0.7538738772412,"9",5155.04197318518,"3",0.0228174269043941
"Rhog",0.788992011377872,0.888346883294165,1.03479766953837,0.7624601741999,"9",4232.73091218228,"1",-0.0292708230167742
"Zfp518b",0.788997717033502,0.909037628388154,1,0.788997717033502,"2",21.855369310083,"4",-0.0490977762003518
"Tkfc",0.789137001675163,0.824073056975027,1.17938087512253,0.669111241602232,"4",146.840706180669,"2",-0.0409097713141162
"Mtpap",0.789304652900952,0.909317752254819,1,0.789304652900952,"7",1530.46564511472,"4",0.0249965474948009
