,pvalue,weighted_pvalue,log2FoldChange
Tmie,5.72E-10,5.64E-10,-1.662750715
Col27a1,0.003355972,0.005006593,-1.661893253
Trpv6,0.001303015,0.002142753,-1.656672601
Rbm38,1.15E-13,1.18E-13,-1.65315644
Ttyh3,2.06E-08,2.01E-08,-1.65175987
Tox,1.84E-06,1.75E-06,-1.642377884
Zfp516,6.69E-05,7.29E-05,-1.641836534
Kbtbd11,1.63E-14,9.94E-15,-1.638623112
Idh2,2.20E-24,2.10E-24,-1.633791896
Acyp1,1.01E-14,9.98E-15,-1.63183177
Vwa3b,0.001979333,0.002156391,-1.621581319
Pak1,0.002537101,0.002603427,-1.605600042
A430035B10Rik,6.38E-05,0.000174322,-1.602801623
N4bp2,2.29E-12,2.24E-12,-1.602019846
Abcg2,1.94E-06,2.12E-06,-1.60146695
Capn3,0.00156609,0.001607031,-1.595805261
Rpl10a-ps1,0.0001611,0.000274528,-1.588575677
Spice1,4.22E-22,4.02E-22,-1.588322398
Tspan6,0.000523956,0.000499126,-1.587697333
Frat2,3.06E-14,2.90E-14,-1.587045036
Card9,0.002522439,0.004298434,-1.583359494
1700001O22Rik,0.001472166,0.004022417,-1.58331376
Plekhg2,3.33E-09,3.05E-09,-1.580811013
4933412E12Rik,1.76E-12,1.74E-12,-1.579121938
Socs3,3.95E-19,2.44E-19,-1.577736876
Dglucy,1.45E-25,1.43E-25,-1.569601468
Mfhas1,2.35E-35,1.77E-35,-1.566453553
Smc4,3.25E-21,2.82E-21,-1.566436268
A130010J15Rik,1.32E-08,1.35E-08,-1.564977905
Sh2d1a,7.62E-10,4.65E-10,-1.561826141
Enpp4,4.25E-10,4.18E-10,-1.560573602
Ddr1,0.000272831,0.000259902,-1.558645627
Ly6k,6.69E-06,6.37E-06,-1.558153042
Nckap5l,3.79E-17,3.72E-17,-1.554487265
Kif7,2.55E-05,2.77E-05,-1.553732254
Igf2bp2,0.000217203,0.000222881,-1.552353511
Podxl2,0.004098758,0.006198936,-1.543471651
Hoxaas3,0.000928823,0.001398774,-1.531222983
Hhat,4.91E-06,5.35E-06,-1.52941145
Lsm14b,8.03E-06,8.24E-06,-1.526618917
Spdl1,0.001723548,0.001442673,-1.52283387
Trbv2,2.41E-06,2.39E-06,-1.518125561
Adk,8.06E-27,7.18E-27,-1.515198582
Pole2,7.81E-14,9.91E-14,-1.511770622
Tcp11l2,7.81E-10,4.84E-10,-1.507596461
4921525O09Rik,0.003981763,0.004337947,-1.50539811
Limd2,4.10E-49,2.51E-49,-1.503279133
Ddx43,3.91E-08,3.72E-08,-1.500898997
Nav2,0.004341128,0.004454616,-1.488736822
Mettl1,1.76E-08,1.74E-08,-1.483533684
Trbv3,3.21E-08,2.52E-08,-1.481609857
Gpsm2,2.28E-11,2.25E-11,-1.479541933
Adamts17,0.001970958,0.002980864,-1.475887534
Trbv12-1,3.14E-15,1.91E-15,-1.474906299
Bzw2,1.60E-14,9.80E-15,-1.474826374
Trav14-2,6.57E-06,8.33E-06,-1.473150106
Zfp281,1.18E-35,7.29E-36,-1.472624084
Myom1,0.004307157,0.005965053,-1.470570587
Dgka,2.09E-49,1.81E-49,-1.469506391
Gm19261,3.58E-08,3.90E-08,-1.468714455
C130089K02Rik,0.003290698,0.008991217,-1.468182383
Tmem141,0.00091309,0.001264553,-1.465608728
Ampd3,0.000738527,0.000941382,-1.464492506
Setbp1,0.000322098,0.000880072,-1.462154369
Pik3ip1,2.26E-10,1.38E-10,-1.456123582
Gm10640,0.000121654,0.000124835,-1.454700037
Pik3r3,0.001835882,0.0015367,-1.453534885
Aldh1b1,1.99E-14,1.97E-14,-1.453281037
Osbpl6,0.004152662,0.011346373,-1.448146672
Shmt1,6.41E-10,8.17E-10,-1.446230508
Afap1,1.12E-06,1.42E-06,-1.442379592
6330549D23Rik,0.002347912,0.003631598,-1.436731747
Dennd2d,1.14E-19,7.07E-20,-1.435180566
Art2a,0.003677002,0.00548552,-1.434650347
Homer3,0.00036491,0.000347618,-1.432290823
Basp1,0.004563004,0.004971181,-1.431839945
Syt13,0.003916818,0.004267191,-1.431376364
Elovl7,1.68E-07,1.67E-07,-1.425693323
Bicdl1,4.88E-23,4.65E-23,-1.425511596
Pdlim1,1.33E-24,1.24E-24,-1.425191111
Fgf13,3.35E-16,3.07E-16,-1.422514928
Tmsb10,4.61E-12,2.92E-12,-1.418141222
Btbd11,3.03E-12,2.89E-12,-1.415689793
Trbv13-3,9.29E-13,9.20E-13,-1.413957697
Epop,2.30E-09,2.24E-09,-1.413172231
2510009E07Rik,0.000238072,0.000235833,-1.412842727
Cfap74,0.000105807,0.00013487,-1.405232727
H2-DMa,6.47E-07,3.95E-07,-1.401487322
Trbv12-2,1.93E-13,1.46E-13,-1.398956801
Lmo4,8.48E-05,8.27E-05,-1.398707717
Gm35585,0.000212953,0.00017825,-1.397890833
Serpini1,3.95E-20,3.52E-20,-1.394780337
Arhgef11,1.14E-11,1.13E-11,-1.394180295
5830444F18Rik,0.002025225,0.001997497,-1.391336233
Trav14-3,3.98E-05,3.95E-05,-1.386172695
Tet1,8.47E-05,9.23E-05,-1.385651296
Adcy1,0.004868926,0.008006743,-1.384914082
Rgs11,3.90E-05,3.48E-05,-1.383607911
1700056E22Rik,1.40E-05,1.33E-05,-1.38102575
Cdc14b,4.91E-13,4.84E-13,-1.377773047
Raly,2.62E-07,2.49E-07,-1.376405613
Gm26732,0.001834067,0.00111902,-1.375403421
Ldlrap1,9.52E-22,6.04E-22,-1.375203025
Trub1,3.82E-12,3.75E-12,-1.374286159
Gm37166,0.004531674,0.006853675,-1.373958328
Abca1,2.55E-05,2.52E-05,-1.372877303
Tubb3,6.63E-05,7.22E-05,-1.371766129
Tdrkh,3.97E-05,3.93E-05,-1.371607128
Apex1,3.71E-22,3.62E-22,-1.370573516
