"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"PRR18",1044.28318297965,-2.70743629025939,0.417426602129205,1.16916554943314e-11,5.31894382478414e-11,"PRR18"
"SFT2D1",1613.46074366743,-0.719645009232693,0.122602603630185,3.14309714158127e-09,1.19700925765696e-08,"SFT2D1"
"RPS6KA2",4726.91507015708,-2.54635527244196,0.163634740168509,2.11761640291678e-55,5.77078881463912e-54,"RPS6KA2"
"RNASET2",1483.91354065739,-0.543654289751464,0.194013262130862,0.00412986891643899,0.00818106087627742,"RNASET2"
"KIF25",79.9926182999081,-1.0315536059486,0.531696905635726,0.0259728199722349,0.0446590612390135,"KIF25"
"DACT2",1299.34950828426,-1.92312720017872,0.622767863571137,0.00038107771512453,0.000878702395118373,"DACT2"
"SMOC2",3455.54987154258,-3.09093321398376,0.423256876414539,3.18199407910523e-14,1.70409234677622e-13,"SMOC2"
"LINC01615",12.3666299532543,-5.14280205408561,0.994464969271257,6.99799872794989e-09,2.58747605879186e-08,"LINC01615"
"THBS2",4179.52327927603,-1.68842448300061,0.46349297751388,6.21106336000091e-05,0.000157326627360449,"THBS2"
"DLL1",1209.34120587187,-1.0105874139436,0.355871071270455,0.00230352552474967,0.00473622605552085,"DLL1"
"FAM120B",2000.24632445634,-0.558990111771403,0.118460733321121,1.95407363615521e-06,5.80543749124728e-06,"FAM120B"
"LOC100507642",108.714457211316,-1.10130792809676,0.284747772756686,5.03300921269502e-05,0.00012877115525964,"LOC100507642"
"PDGFA",1032.47095998627,-2.02958696672462,0.357587343792222,2.3888892240979e-09,9.1850439160261e-09,"PDGFA"
"HRAT92",96.8127259852273,-1.60419183451278,0.351716462217377,1.25482187554187e-06,3.7976217425384e-06,"HRAT92"
"PRKAR1B",3043.49529025807,-2.85711065284425,0.261014455296867,9.65767810589124e-29,1.03169873370333e-27,"PRKAR1B"
"ADAP1",1004.07738927186,-4.47951722131772,0.374484707012677,2.18090058674015e-34,2.9117220936114e-33,"ADAP1"
"C7orf50",2661.20987717975,-0.712669592219776,0.230715841177457,0.00142829605323033,0.00303017113675211,"C7orf50"
"NUDT1",374.046990300773,-2.28849064507498,0.228977007499905,2.60883487754745e-24,2.31594907384144e-23,"NUDT1"
"SNX8",1263.97235042115,-0.730617253656667,0.228453974294453,0.00096884188668822,0.00210870879852336,"SNX8"
"CHST12",1228.71502346743,-0.586502155951559,0.155092750750946,0.000124995611507233,0.000305465733198913,"CHST12"
"LFNG",871.267034931345,-2.64932869198698,0.401100549139188,5.42025696096693e-12,2.52544683942162e-11,"LFNG"
"IQCE",1570.1856743155,-2.18200693862385,0.206830329417119,8.50479342399855e-27,8.30232429506452e-26,"IQCE"
"AMZ1",299.786536459559,-2.39949525356101,0.698138725973778,7.77997333623838e-05,0.00019483186555579,"AMZ1"
"GNA12",4289.8136205755,-2.12031932192269,0.234237836158919,2.37510305312947e-20,1.75084114976278e-19,"GNA12"
"SDK1",557.651605712001,-0.691010005675839,0.223141223824937,0.00142016677053604,0.00301457681306497,"SDK1"
"FOXK1",2090.3417264642,-0.760372328986229,0.16902227422731,4.7094939089695e-06,1.34853525305051e-05,"FOXK1"
"RADIL",470.714395562223,-5.06324295733536,0.43779111346151,1.93131213480533e-32,2.39484276805511e-31,"RADIL"
"MMD2",443.617444519261,-10.1370367965433,1.21944036843959,4.46795692545677e-18,2.94962608121108e-17,"MMD2"
"FBXL18",206.14530468454,-2.16487093879104,0.27960591580069,1.60686599106669e-15,9.25976662565328e-15,"FBXL18"
"ACTB",139008.781663057,-0.798414104623282,0.271651586028717,0.00214057833842797,0.00442269091529126,"ACTB"
"FSCN1",4748.80622609372,-4.20004340746929,0.441563971058204,8.86112002345043e-23,7.30838505020206e-22,"FSCN1"
"RNF216",2876.27089566325,-0.724397976137533,0.129947205607709,1.77766346052267e-08,6.36353808621127e-08,"RNF216"
"CCZ1",298.794409635414,-0.735247711296351,0.146004826226541,3.36825255941654e-07,1.07311178304862e-06,"CCZ1"
"PMS2",452.896921543572,-0.780622733621221,0.194006950824006,3.85308828000335e-05,9.98826177374815e-05,"PMS2"
"CYTH3",3494.95594695986,-2.44004939648423,0.226400846577149,6.91951333879425e-28,7.11738058382999e-27,"CYTH3"
"FAM220A",777.796617191584,-1.17489695854549,0.151869749087641,4.23929331163885e-15,2.38475903481722e-14,"FAM220A"
"RAC1",12361.0158484877,-1.23725523515386,0.0735876312510427,7.38567472954454e-64,2.56871406375609e-62,"RAC1"
"RPL31P34",16.2796833403806,-5.06202733295139,1.06268219390658,5.76785388181109e-08,1.97027922656283e-07,"RPL31P34"
"GRID2IP",27.9381053829361,-3.79806012509511,0.578486423579094,3.31060125900138e-12,1.56524035626932e-11,"GRID2IP"
"ZNF853",1117.33063943653,-5.3576458663884,0.341286447818761,4.86063581591755e-57,1.38660104310449e-55,"ZNF853"
"CCZ1B",295.072325123898,-0.819392299913756,0.147865960446106,1.94624955975543e-08,6.9401200066794e-08,"CCZ1B"
"UMAD1",610.942941675114,-0.798290316836629,0.141619637764992,1.14997789979256e-08,4.17995426783346e-08,"UMAD1"
"ICA1",1240.87745291177,-1.43548038105747,0.497780739673474,0.00120918279254662,0.00259693868183546,"ICA1"
"NXPH1",281.48559700729,-5.29555432795449,3.18105897186271,0.00158830501385123,0.00334306658770331,"NXPH1"
