"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"TOR2A",542.440299673928,-0.993552633314481,0.133101482567455,3.51223489814272e-14,1.73319178234069e-13,"TOR2A"
"FPGS",3436.18450649998,-1.10015796225043,0.126035912347265,8.99551576173925e-19,5.63574704324305e-18,"FPGS"
"LOC102723566",450.458902319127,-0.544753069803089,0.226871444529901,0.0120082050475853,0.0216648299392894,"LOC102723566"
"DPM2",1328.06317177581,-1.11231330787833,0.111440526620235,6.30742202118771e-24,5.01352013356446e-23,"DPM2"
"FAM102A",5856.58597770503,-0.777167575735883,0.256556460052309,0.00138766298774616,0.00288212749660251,"FAM102A"
"NAIF1",400.648439354489,-0.584295837476382,0.122666130049115,1.38679630894624e-06,3.99889895974572e-06,"NAIF1"
"SLC25A25",3745.96722091023,-1.92847292060394,0.355361061921414,7.79829917733955e-09,2.70882203894657e-08,"SLC25A25"
"PTGES2",2185.4911571637,-1.29308998581695,0.124953007359215,1.0469709501355e-25,8.98031079329347e-25,"PTGES2"
"PTGES2-AS1",17.5839115907955,-1.70511177995601,0.561785223786767,0.000397353228631414,0.000884953276075533,"PTGES2-AS1"
"LCN2",80.9154313303847,-2.4541094166433,0.58241435700006,2.93184912037806e-06,8.21074061499755e-06,"LCN2"
"SWI5",764.260352795036,-0.821779188274527,0.102322732554634,5.29344359955673e-16,2.88713473232537e-15,"SWI5"
"TRUB2",1934.84134218308,-1.70265947879897,0.10708149271675,9.22761863083577e-58,2.41113084756152e-56,"TRUB2"
"COQ4",2934.77318008326,-1.40234907694381,0.0963558385896614,1.12638832128139e-48,2.22264721402073e-47,"COQ4"
"SLC27A4",1615.81396445034,-1.29296070433593,0.171824414666829,1.31083637980575e-14,6.61979976521496e-14,"SLC27A4"
"DYNC2I2",1535.74873419229,-1.65907750834826,0.143870625449587,1.38715066808702e-31,1.52461469713591e-30,"DYNC2I2"
"ZDHHC12",905.14380160042,-1.91662429238816,0.131027607783747,2.62531575153371e-49,5.32172288768979e-48,"ZDHHC12"
"LOC100506100",91.189785171668,-1.87215478101202,0.268214831552515,4.08983120264613e-13,1.89657362634733e-12,"LOC100506100"
"ENDOG",334.58111052056,-2.18056007842559,0.271016721128547,1.20702663783962e-16,6.80504821892297e-16,"ENDOG"
"SPOUT1",1659.96994674245,-1.04364116658914,0.090972896269377,7.06905530380261e-31,7.50689815060837e-30,"SPOUT1"
"KYAT1",674.564155744729,-2.10806216806825,0.165724658671682,6.62994577149181e-38,9.28283813511218e-37,"KYAT1"
"PHYHD1",1801.41985799961,-1.97604456649018,0.253570160168682,8.98042881229383e-16,4.8357498166164e-15,"PHYHD1"
"MIGA2",2034.16753434541,-0.929142326034775,0.103276876277868,1.09004198454919e-19,7.14968980479231e-19,"MIGA2"
"DOLPP1",1024.59561986904,-2.55505751871411,0.136429695836326,5.1303120981493e-79,2.23932978072084e-77,"DOLPP1"
"CRAT",6629.18807336307,-2.2408847929767,0.130683534620817,1.02368908942715e-66,3.32857369131024e-65,"CRAT"
"PTPA",6371.89373090421,-1.39870682294857,0.132837982238296,1.30672788704185e-26,1.16477701973388e-25,"PTPA"
"NTMT1",496.74819345037,-0.764622514978807,0.218152066334281,0.000265142730398946,0.000604105860534301,"NTMT1"
"TOR1B",1015.03745513296,-0.797996370786297,0.117711492957587,6.8309724724698e-12,2.9495356904583e-11,"TOR1B"
"C9orf78",3364.83844262284,-0.671205846477552,0.0861402993141929,4.38407285816477e-15,2.27584848815311e-14,"C9orf78"
"ASS1",32726.7577211738,-3.75570511570225,0.238379911848276,6.42123559319408e-57,1.63165792175016e-55,"ASS1"
"FUBP3",3233.63025463742,-0.583339350642562,0.108725658677209,5.90112158428006e-08,1.91693646772855e-07,"FUBP3"
"PRDM12",12.8986245532077,-3.51529412329238,0.613373980608446,9.42836556788848e-10,3.50866023887698e-09,"PRDM12"
"EXOSC2",1114.50047786677,-0.69242721189633,0.0964573150610418,4.56292644503427e-13,2.11178307763723e-12,"EXOSC2"
"LAMC3",557.471968397375,-2.79151121386228,0.489173597250178,1.52376862561093e-09,5.58660153026333e-09,"LAMC3"
"UCK1",3035.36595292095,-1.61466359531824,0.128398092999192,4.52966743544483e-37,6.14449589295181e-36,"UCK1"
"PRRT1B",52.1215608376821,-6.5474785984561,0.44253679482676,2.7855612991121e-52,6.23110837738975e-51,"PRRT1B"
"DDX31",619.511899048908,-1.00054874346368,0.114939692963633,1.32257144644541e-18,8.23014384371986e-18,"DDX31"
"CEL",164.675512073019,-2.43410327486585,0.378505263608978,1.77208044057989e-11,7.44483932475834e-11,"CEL"
"SURF1",2298.2952881409,-1.34829628334076,0.0982660782080823,1.69882514844886e-43,2.861144599104e-42,"SURF1"
"SURF2",596.464742636077,-0.763641093053571,0.126311156469794,8.79102613983253e-10,3.28029630621283e-09,"SURF2"
"SURF4",10568.8191936878,-1.36579875385253,0.153801557788373,1.46025152756267e-19,9.51850305739233e-19,"SURF4"
"STKLD1",115.066469136575,-1.38700113694682,0.162940573287945,3.61482184017005e-18,2.20001552146346e-17,"STKLD1"
"REXO4",1229.64579843553,-0.98833666004146,0.144472258710342,3.33012341571716e-12,1.46553329635497e-11,"REXO4"
"ADAMTS13",2104.25000796648,-4.25924177602942,0.233234898499473,8.50584935207062e-76,3.41433085915066e-74,"ADAMTS13"
"CACFD1",2375.15019485334,-3.73080970620044,0.129231814095273,3.1275730638302e-184,7.32982834890114e-182,"CACFD1"
"ADAMTSL2",2063.23624482257,-3.46128478055498,0.254113917779551,4.01843841589645e-43,6.68284733717888e-42,"ADAMTSL2"
"FAM163B",152.905340785602,-6.71597070039699,0.472197113737045,1.06629061506399e-48,2.10815549442924e-47,"FAM163B"
"DBH",1275.85228776403,-8.36052028763299,0.39960600691704,1.05917275670814e-99,7.07671411811994e-98,"DBH"
"DBH-AS1",3728.42104618,-7.48832970691982,0.325018960375018,2.83709085755354e-120,2.70964411150733e-118,"DBH-AS1"
"SARDH",3769.72273737156,-6.91726769891894,0.271377833767984,3.72934355327858e-146,5.26027361285827e-144,"SARDH"
"VAV2",3808.90994610384,-2.42633712064989,0.211733816231606,3.39259813467102e-31,3.65366869455715e-30,"VAV2"
"WDR5",2436.80780954842,-1.26120769564054,0.137942563575386,1.58813025282712e-20,1.08196700386592e-19,"WDR5"
"RXRA",12128.2146266403,-1.91772147461056,0.193548494852446,5.32288201411523e-24,4.24090602311842e-23,"RXRA"
"FCN2",455.499350154273,-5.14252919018858,0.517796738571519,3.38458140112092e-25,2.82980355510294e-24,"FCN2"
"PPP1R26-AS1",124.597212581853,-1.70020058480343,0.217096427127798,7.20555185344334e-16,3.9000097409639e-15,"PPP1R26-AS1"
"PPP1R26",1617.01223488004,-1.45523439785802,0.152720736949509,3.03687106220976e-22,2.24464703183758e-21,"PPP1R26"
"MRPS2",1573.80061364211,-1.92583917291061,0.103670635047823,7.01734201586507e-78,2.96118226035126e-76,"MRPS2"
"LOC101928525",19.5643567062226,-2.15854255662172,0.362613802406173,3.51109388019373e-10,1.34964038919837e-09,"LOC101928525"
"SOHLH1",85.1083835835027,-2.13139736780953,0.778650618926951,0.000760025041230699,0.00163263646133933,"SOHLH1"
"TMEM250",1923.99597701022,-0.539356883386026,0.120751713707176,6.05123464539526e-06,1.6443361214882e-05,"TMEM250"
"QSOX2",1147.74650982251,-0.902431260609997,0.147780769217019,4.93567878148712e-10,1.8771105409508e-09,"QSOX2"
"SNAPC4",1774.10186945556,-1.02998800925322,0.173178002933799,1.07196365176605e-09,3.9736606130133e-09,"SNAPC4"
