"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"MERTK",1412.5015427358,-0.697208523366169,0.275047461428327,0.00710737777774393,0.0218665880284142,"MERTK"
"ZC3H8",785.363050863243,-1.03442474583095,0.211975644522084,4.02046128992191e-07,2.16291490429828e-06,"ZC3H8"
"TTL",2789.62139453403,-1.58248234847391,0.140157204468818,2.7673234945016e-30,6.6375857164239e-29,"TTL"
"CHCHD5",600.346360216427,-0.561557660346988,0.117548348675026,1.3577807491611e-06,6.92090821470842e-06,"CHCHD5"
"IL1B",52.7698054008614,-1.23341222670939,0.38977874962284,0.000456076368467186,0.00170465517264798,"IL1B"
"FOXD4L1",11.5066277548918,-2.75014389106631,0.745853296384882,2.26847954020004e-05,0.000100894523394697,"FOXD4L1"
"RABL2A",778.98631293671,-0.930439031957659,0.172337177203664,3.03003754752584e-08,1.82532610347083e-07,"RABL2A"
"DPP10",336.957356033589,-9.1290859156567,0.623076961568701,2.43608640805857e-50,1.31731645619625e-48,"DPP10"
"DPP10-AS1",29.3535190423018,-7.30071495531759,1.04480792466526,9.48865499904841e-14,8.8271026784783e-13,"DPP10-AS1"
"C1QL2",150.489535123721,-8.59200301400794,0.768626371621361,1.42853369458234e-30,3.46955300897176e-29,"C1QL2"
"CFAP221",102.290843789536,-2.9865961533669,0.414897037602397,7.22793202643907e-14,6.77232519998618e-13,"CFAP221"
"TMEM177",468.662069119796,-1.62538743823943,0.183525857586511,1.55253067133077e-19,2.11066282219954e-18,"TMEM177"
"PTPN4",1030.79021645625,-0.544687050275212,0.142748986831639,0.000104957782354341,0.000427876828250645,"PTPN4"
"EPB41L5",2885.95468788887,-0.716424265121651,0.265403077850466,0.00429453421403949,0.0137170853148825,"EPB41L5"
"NIFK-AS1",407.834581238747,-1.46688696517029,0.195199532035567,1.16295368753472e-14,1.14878294323647e-13,"NIFK-AS1"
"TSN",2694.74170972268,-0.58528240635322,0.117406028528089,4.61654271450184e-07,2.46763007351503e-06,"TSN"
"BIN1",6628.76772281202,-2.16771470110643,0.134222138893973,2.42094531313134e-59,1.79640379222011e-57,"BIN1"
"MAP3K2-DT",96.7933645575204,-3.6897903800796,0.604793486019484,5.68611357999034e-11,4.30024597884657e-10,"MAP3K2-DT"
"PROC",9934.96113563175,-1.88734225532089,0.389019460752165,2.1159720464398e-07,1.17449840805551e-06,"PROC"
"POLR2D",1051.98812098076,-0.977990780928251,0.132711795619493,7.11414941093212e-14,6.67219515528507e-13,"POLR2D"
"HS6ST1",2785.44192296126,-1.67278812683573,0.26543649476849,5.44580017458916e-11,4.12497128488235e-10,"HS6ST1"
"PLAC9P1",26.826911863214,-1.91389678111115,0.721254891132734,0.00129676374590472,0.00453190836717244,"PLAC9P1"
"RAB6C-AS1",85.1412269976593,-2.83921507427192,0.423896265732915,2.80499134748738e-12,2.34080895581408e-11,"RAB6C-AS1"
